진료년월,환자수 
2016년 01월,"237,446"
2016년 02월,"239,425"
2016년 03월,"254,338"
2016년 04월,"247,658"
2016년 05월,"250,705"
2016년 06월,"251,373"
2016년 07월,"249,244"
2016년 08월,"253,333"
2016년 09월,"252,862"
2016년 10월,"254,549"
2016년 11월,"254,737"
2016년 12월,"257,789"
2017년 01월,"251,149"
2017년 02월,"254,649"
2017년 03월,"264,281"
2017년 04월,"258,495"
2017년 05월,"265,616"
2017년 06월,"269,660"
2017년 07월,"270,815"
2017년 08월,"276,715"
2017년 09월,"285,346"
2017년 10월,"259,696"
2017년 11월,"274,694"
2017년 12월,"274,910"
2018년 01월,"286,965"
2018년 02월,"273,287"
2018년 03월,"293,481"
2018년 04월,"290,768"
2018년 05월,"297,569"
2018년 06월,"292,655"
2018년 07월,"299,859"
2018년 08월,"301,195"
2018년 09월,"292,371"
2018년 10월,"311,575"
2018년 11월,"299,243"
2018년 12월,"296,386"
2019년 01월,"307,129"
2019년 02월,"284,321"
2019년 03월,"301,539"
2019년 04월,"310,710"
2019년 05월,"315,383"
2019년 06월,"306,280"
2019년 07월,"324,369"
2019년 08월,"320,468"
2019년 09월,"317,411"
2019년 10월,"329,162"
2019년 11월,"325,584"
2019년 12월,"328,777"
2020년 01월,"323,503"
2020년 02월,"314,951"
2020년 03월,"317,569"
2020년 04월,"319,833"
2020년 05월,"331,404"
2020년 06월,"338,771"
2020년 07월,"347,572"
2020년 08월,"336,618"
2020년 09월,"350,663"
2020년 10월,"341,601"
2020년 11월,"347,042"
2020년 12월,"353,588"
2021년 01월,"347,573"
2021년 02월,"346,604"
2021년 03월,"372,249"
2021년 04월,"370,941"
2021년 05월,"369,340"