genre,script
액션,"액션 영화(action film)는 영화의 한 갈래로, 등장인물의 육체적인 움직임을 이용한 활약을 보여주는 데 주안점을 둔다. 액션 영화는 종종 정의가 악을 무찔러 사건을 해결한다는 권선징악의 이야기를 다룬다. 폭넓은 의미에서 활극영화는 범죄영화, 서부극, 전쟁 영화, 재난 영화, 스릴러 등을 포함한다."
코미디,"코미디 영화(comedy film)는 유머에 중점을 둔 영화 장르로, 관객들로부터 웃음을 끌어내려고 제작된다. 코미디 영화는 대부분 가볍게 즐길 수 있고, 관객들을 즐겁게 해준다. 코미디 장르는 상황, 말하는 방법, 행동, 성격을 재미있게 과장해 풀어낸다."
다큐멘터리,"다큐멘터리 영화(영어: Documentary Film), 또는 기록 영화(記錄映畵, 문화어: 시보영화)는 사실을 기록하려고 시도한 논픽션 형태의 시각적인 작품이다. ""다큐멘터리""라는 단어는 라틴어 ""documentum""에서 유래되었다."
판타지,판타지 영화란 판타지적인 내용을 영화로 만든 것이다.
공포,"공포 영화(恐怖映畫, 영어: horror film)란 귀신이나 유령 등 무서운 것과 초자연적인 소재를 이용하여 두렵고 무서운 느낌이 들게 만든 영화이다. 공포 영화는 두려움과 놀람을 통해 고조된 심장 박동과 같은 생리학적 반응을 이끌어 내기 위해 만들어진 영화의 장르이다. 공포 영화는 처음에 에드가 앨런 포, 브램 스토커, 그리고 메리 셸리와 같은 작가들로 영감을 받은 작품을 통해 한 세기 이상 영화의 한 장르로 다루어져 왔다. 주로 섬뜩하고 초자연적인 주제를 다루며, 판타지, 초자연적인 소설, 스릴러 장르 등 다른 장르와도 중첩되는 분야이다. 공포 영화는 종종 시청자들의 악몽, 두려움, 공포, 공포를 불러일으키는 의문의 존재가 불러오는 공포감을 불러일으키는 것을 목표로 한다. 공포 영화 속의 플롯은 종종 악의적인 힘, 사건, 혹은 일상 세계에 대한 침범을 포함한다. 공포 영화에서 등장하는 주요 소재로는 유령, 외계인, 자연재해, 뱀파이어, 늑대인간, 악마, 마녀, 사탄, 잔인한 것, 고문하기, 악의 상징인 동물, 괴물, 좀비, 싸이코패스, 연쇄살인범 등이 있다. 공포영화의 부가적인 장르로는 액션 호러, 코미디 호러, 재앙 호러, 초자연적 호러, 좀비 호러 등 다양하다."
음악,"뮤지컬 영화(Musical film)는 영화의 장르 중 하나로, 이야기에 혼재하여 배우가 노래를 부르는 형식을 가리킨다."
로맨스,"로맨스 영화(영어: romance film)는 영화의 장르 중 하나로, 사랑을 주제로 한다. 이 장르에서 다루는 사랑은 로맨틱 코미디와 같은 가벼운 분위기에서부터 불륜 치정극과 같은 심각한 관계까지 매우 범위가 넓다. 때때로 역사적인 사건이나 전쟁이 배경이 되기도하는데, 이에 해당하는 영화는 보는 관점에 따라 다른 장르로 분류되기도 한다."
스포츠,"스포츠 영화(-映畵)는 스포츠를 소재로 한 영화로, 스포츠 선수나 팀, 경기 등을 소재로 하는 것이 대부분이다."
서부,서부극(西部劇)은 미국의 역사 중에서 서부 개척사를 소재로 한 영화나 극 작품이다.
Made in Europe,위키백과에 ‘Made in Europe 영화’ 문서가 존재하지 않습니다.
애니메이션,애니메이션 영화(Animated Film) 또는 극장판(劇場判) 혹은 극장판 애니메이션(劇場判Animation)은 애니메이션을 영화화한 작품이다.
범죄,"범죄 영화(犯罪映畵)는 범죄를 소재로 한 영화 장르로, 범죄자나 그에 따른 사건을 중심으로 한다."
드라마,"드라마 영화(영어: drama film) 또는 극영화(劇映畵)는 정서적인 주제를 다루는, 현실적인 등장 인물의 성격 묘사를 바탕으로 하는 영화 장르이다. 가장 범위가 넓은 영화 장르로, 로맨스, 스포츠, 시대극, 법정 드라마, 범죄와 같은 하위 장르를 포함하고 있다."
역사,"역사 영화(歷史映畵)는 인류의 역사적인 인물, 사건 등을 그린 영화의 한 장르이다. 사실을 그리지 않아도 역사적 배경을 테마로 가지는 것을 포함하는 경우도 있다. 또한 역사적 사실을 그린 서부극과 시대극, 전쟁 영화 등도 포함할 수도 있지만, 영화의 장르로 구분되는 것이 많다."
가족,"가족 영화(家族映畵)는 어른과 아이들이 함께 감상하고, 함께 즐길 수 있는 영화 작품이다. 성적 묘사, 폭력, 혐오감을 자아내게 장면들이 없으며, 건전한 오락으로서 즐길 수 있는 것이 필수이다. 가족을 주제로 한 작품도 그 비참한 숙명이나 증오, 사회적인 압박이나 경련 등을 테마로 한 것은 가족 단란의 건전한 오락이 될 수 없다."
스릴러,"스릴러(thriller)는 문학, 영화, 게임 등을 아우르는 폭넓은 장르로서, 종종 서로 겹치는 다양한 하위 장르를 거느리고 있다. 빠른 전개, 빈발하는 액션, 재능있는 영웅이 대결하는 더 강력하고 더 잘 갖춰진 악당을 갖는다."
SF,"SF 영화(Science fiction film)는 SF를 사용하는 영화 장르이다. 사변적인, 주류 과학에서 완전히 받아들여지지 않은 현상(이를테면 외계 생명체, 외계 세계, 지각을 넘어선 인식, 시간여행)과 함께 미래적 요소(우주선, 로봇, 사이보그, 성간 여행)와 다른 기술들에 대한 가상의 과학-기반 묘사가 그것이다. SF 영화는 종종 정치적이거나 사회 문제에 초점을 맞추고, 인간 조건과 같은 철학적 문제를 탐구한다.[1] 많은 경우, 기존의 SF 소설에서 유래한 수사법들에 비추어 볼 때, 영화 제작자들의 무지나 무관심 때문에 SF 영화는 과학적 타당성이나 플롯의 논리 측면에서 기존 과학소설이 전통적으로 지켜온 기준에 못 미치는 경우가 많다.[2]"
전쟁,전쟁 영화(war film)는 전쟁을 소재로 다루는 영화를 말한다.배경은 중세부터 현대 혹은 미래까지 다양한 배경이 있다.
Reality TV,위키백과에 ‘Reality TV 영화’ 문서가 존재하지 않습니다.
