id,title,type,original_title
0,모가디슈,Movie,
1,베놈,Movie,Venom
2,스파이더맨,Movie,Spider-Man
3,스파이더맨: 뉴 유니버스,Movie,Spider-Man: Into the Spider-Verse
4,스파이더맨: 홈커밍,Movie,Spider-Man: Homecoming
5,파워 오브 도그,Movie,The Power of the Dog
6,돈 룩 업,Movie,Don't Look Up
7,스파이더맨: 파 프롬 홈,Movie,Spider-Man: Far From Home
8,어메이징 스파이더맨,Movie,The Amazing Spider-Man
9,더 플랫폼,Movie,The Platform
10,인질,Movie,
11,스파이더맨 2,Movie,Spider-Man 2
12,프라미싱 영 우먼,Movie,Promising Young Woman
13,어메이징 스파이더맨 2,Movie,The Amazing Spider-Man 2
14,"틱, 틱... 붐!",Movie,"tick, tick… BOOM!"
16,레이니 데이 인 뉴욕,Movie,A Rainy Day in New York
18,기적,Movie,
26,언포기버블,Movie,The Unforgivable
27,아이 씨 유,Movie,I See You
28,스파이더맨 3,Movie,Spider-Man 3
29,스노우 화이트,Movie,Blanche comme neige
30,노트북,Movie,The Notebook
32,쇼생크 탈출,Movie,The Shawshank Redemption
33,러브 액츄얼리,Movie,Love Actually
34,캐롤,Movie,Carol
35,장고: 분노의 추적자,Movie,Django Unchained
36,가려진 시간,Movie,
37,이터널 선샤인,Movie,Eternal Sunshine of the Spotless Mind
38,라라랜드,Movie,La La Land
39,애비규환,Movie,
46,크루즈 패밀리: 뉴 에이지,Movie,The Croods: A New Age
47,그녀,Movie,Her
48,그래비티,Movie,Gravity
49,50가지 그림자: 해방,Movie,Fifty Shades Freed
50,랑종,Movie,ร่างทรง
51,비바리움,Movie,Vivarium
52,칠드런 액트,Movie,The Children Act
53,부서져 흩어지는 모습을 보여줄게,Movie,砕け散るところを見せてあげる
54,용쟁호투,Movie,Enter the Dragon
59,로맨틱 홀리데이,Movie,The Holiday
60,에이리언: 커버넌트,Movie,Alien: Covenant
61,신들의 봉우리,Movie,Le Sommet des dieux
62,아이 필 프리티,Movie,
63,인터스텔라,Movie,Interstellar
65,미드 90,Movie,mid90s
66,서치,Movie,Searching
67,레드 노티스,Movie,Red Notice
71,위대한 개츠비,Movie,The Great Gatsby
74,셔터 아일랜드,Movie,Shutter Island
75,처음 만나는 자유,Movie,"Girl, Interrupted"
76,디스트릭트 9,Movie,District 9
77,와일드라이프,Movie,
79,싱크홀,Movie,
81,세븐틴 어게인,Movie,17 Again
82,인디아나 존스: 레이더스,Movie,Raiders of the Lost Ark
83,인생은 아름다워,Movie,La vita è bella
84,악인전,Movie,
85,감당 불가 크리스마스,Movie,Una Navidad no tan padre
86,하프 브라더스,Movie,Half Brothers
87,원스 어폰 어 타임 인… 할리우드,Movie,Once Upon a Time… in Hollywood
88,마스터 클렌즈,Movie,The Cleanse
89,노팅 힐,Movie,Notting Hill
90,예스맨,Movie,Yes Man
91,올 더 머니,Movie,All the Money in the World
92,찰리와 초콜릿 공장,Movie,Charlie and the Chocolate Factory
94,더 길티,Movie,The Guilty
95,점퍼,Movie,
96,레미제라블,Movie,Les Misérables
97,동주,Movie,
98,잭 리처,Movie,Jack Reacher
99,아가씨,Movie,
101,노인을 위한 나라는 없다,Movie,No Country for Old Men
106,핵소 고지,Movie,
107,빅 쇼트,Movie,The Big Short
108,그것만이 내 세상,Movie,
109,캘리포니아 크리스마스: 도시의 불빛,Movie,A California Christmas: City Lights
110,범죄도시,Movie,
111,거인,Movie,
112,클라우스,Movie,Klaus
113,매드 맥스: 분노의 도로,Movie,Mad Max: Fury Road
114,로미오와 줄리엣,Movie,Romeo + Juliet
115,인비저블 게스트,Movie,Contratiempo
116,패딩턴,Movie,Paddington
117,더 킹: 헨리 5세,Movie,The King
118,기생충,Movie,
119,남한산성,Movie,
120,헤이트풀8,Movie,
121,어바웃 타임,Movie,About Time
122,고스트 버스터즈,Movie,Ghostbusters
123,암수살인,Movie,
124,극한직업,Movie,
127,이미테이션 게임,Movie,The Imitation Game
128,퍼시픽 림,Movie,Pacific Rim
129,수퍼 소닉,Movie,Sonic the Hedgehog
130,극장판 포켓몬스터: 뮤츠의 역습 EVOLUTION,Movie,劇場版 ポケットモンスター ミュウツーの逆襲 EVOLUTION
131,엑스 마키나,Movie,Ex Machina
135,다마카: 더 테러 라이브,Movie,धमाका
137,포레스트 검프,Movie,Forrest Gump
138,나를 찾아줘,Movie,Gone Girl
139,비포 선라이즈,Movie,Before Sunrise
140,맘마 미아!,Movie,Mamma Mia!
141,추격자,Movie,
142,올드보이,Movie,
143,혼자 사는 사람들,Movie,
144,원초적 본능,Movie,Basic Instinct
147,악마를 보았다,Movie,
148,그레이의 50가지 그림자,Movie,Fifty Shades of Grey
149,해바라기,Movie,
150,The Witcher: Nightmare of the Wolf,Movie,
152,클래식,Movie,
153,기억의 밤,Movie,
154,낙원의 밤,Movie,
156,라이언 일병 구하기,Movie,Saving Private Ryan
157,바이스,Movie,
158,캐치 미 이프 유 캔,Movie,
159,터미네이터 2: 심판의 날,Movie,Terminator 2: Judgment Day
163,판의 미로: 오필리아와 세개의 열쇠,Movie,El laberinto del fauno
166,승리호,Movie,
168,1987,Movie,
169,가디언즈,Movie,Rise of the Guardians
171,트와일라잇,Movie,Twilight
175,세 얼간이,Movie,3 Idiots
183,이스케이프 룸,Movie,Escape Room
188,수어사이드 스쿼드,Movie,Suicide Squad
189,메멘토,Movie,Memento
190,리틀 포레스트,Movie,
192,디파티드,Movie,The Departed
193,미드나잇 인 파리,Movie,Midnight in Paris
194,센과 치히로의 행방불명,Movie,千と千尋の神隠し
201,빽 투 더 퓨쳐,Movie,Back to the Future
203,너의 이름은.,Movie,君の名は。
209,공각기동대 : 고스트 인 더 쉘,Movie,Ghost in the Shell
210,배트맨 비긴즈,Movie,Batman Begins
214,쥬라기 월드,Movie,Jurassic World
219,부산행,Movie,
221,귀멸의 칼날 극장판 무한열차편,Movie,劇場版「鬼滅の刃」無限列車編
225,엑시트,Movie,
226,맨 인 블랙 3,Movie,Men in Black 3
227,먼 훗날 우리,Movie,后来的我们
228,베이비 드라이버,Movie,Baby Driver
229,쥬만지: 새로운 세계,Movie,Jumanji: Welcome to the Jungle
230,더 킹,Movie,
232,트랜스포머: 사라진 시대,Movie,Transformers: Age of Extinction
237,헝거게임: 판엠의 불꽃,Movie,The Hunger Games
243,나우 유 씨 미 2,Movie,Now You See Me 2
245,맨 인 블랙,Movie,Men in Black
249,마이너리티 리포트,Movie,Minority Report
250,스타 트렉: 더 비기닝,Movie,Star Trek
256,섹스 앤 더 시티,Movie,Sex and the City
258,쥬라기 공원,Movie,Jurassic Park
1829,그 해 우리는,TV_Show,
1831,불가살,TV_Show,
1833,귀멸의 칼날,TV_Show,鬼滅の刃
1834,홈랜드,TV_Show,Homeland
1835,위쳐,TV_Show,The Witcher
1840,솔로지옥,TV_Show,
1841,먹보와 털보,TV_Show,
1842,지옥,TV_Show,
1855,아케인,TV_Show,Arcane
1857,신세계로부터,TV_Show,
1858,그냥 사랑하는 사이,TV_Show,
1860,오징어 게임,TV_Show,
1865,이누야샤,TV_Show,犬夜叉
1866,카우보이 비밥,TV_Show,Cowboy Bebop
1867,릭 앤 모티,TV_Show,Rick and Morty
1868,굿 닥터,TV_Show,
1870,사우스 파크,TV_Show,"South Park: Bigger, Longer & Uncut"
1873,워킹 데드,TV_Show,The Walking Dead
1874,로스트 인 스페이스,TV_Show,Lost in Space
1878,"에밀리, 파리에 가다",TV_Show,Emily in Paris
1880,나의 아저씨,TV_Show,
1882,진격의 거인,TV_Show,進撃の巨人
1893,나는 SOLO,TV_Show,
1896,네모바지 스폰지밥,TV_Show,SpongeBob SquarePants
1898,멜로가 체질,TV_Show,
1904,타인은 지옥이다,TV_Show,
1905,가십걸,TV_Show,Gossip Girl
1915,호텔 델루나,TV_Show,Hotel Del Luna
1916,지정생존자,TV_Show,Designated Survivor
1919,돌싱글즈,TV_Show,
1920,아는 형님,TV_Show,
1936,보이스,TV_Show,
1937,도깨비,TV_Show,쓸쓸하고 찬란하神-도깨비
1941,미스터 션샤인,TV_Show,
1942,맛있는 녀석들,TV_Show,
1955,나쁜 녀석들: 악의 도시,TV_Show,
1956,위 베어 베어스: 곰 브라더스,TV_Show,We Bare Bears
1959,갓 오브 하이스쿨,TV_Show,
1962,설국열차,TV_Show,Snowpiercer
1965,개미는 오늘도 뚠뚠,TV_Show,
1968,퀸스 갬빗,TV_Show,The Queen's Gambit
1969,헬'S 키친,TV_Show,Hell's Kitchen
1974,비밀의 숲,TV_Show,
1977,시그널,TV_Show,
1981,"나만 믿고 따라와, 도시어부",TV_Show,
1985,원펀맨,TV_Show,ワンパンマン
1988,이태원 클라쓰,TV_Show,
2003,킹덤,TV_Show,
2012,D.P.,TV_Show,
